product,contract_role,period,source_role,year,expected_start,expected_end,boundary_status
al,dominant_main,1d,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,1d,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,1d,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,1d,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
al,dominant_main,1d,direct,2000,2000-01-05,2000-12-31,start_boundary_supported
al,dominant_main,1d,direct,2001,2001-01-01,2001-12-31,start_boundary_supported
al,dominant_main,1d,direct,2002,2002-01-01,2002-12-31,start_boundary_supported
al,dominant_main,1d,direct,2003,2003-01-01,2003-12-31,start_boundary_supported
al,dominant_main,1d,direct,2004,2004-01-01,2004-12-31,start_boundary_supported
al,dominant_main,1d,direct,2005,2005-01-01,2005-12-31,start_boundary_supported
al,dominant_main,1d,direct,2006,2006-01-01,2006-12-31,start_boundary_supported
al,dominant_main,1d,direct,2007,2007-01-01,2007-12-31,start_boundary_supported
al,dominant_main,1d,direct,2008,2008-01-01,2008-12-31,start_boundary_supported
al,dominant_main,1d,direct,2009,2009-01-01,2009-12-31,start_boundary_supported
al,dominant_main,1d,direct,2010,2010-01-01,2010-12-31,start_boundary_supported
al,dominant_main,1d,direct,2011,2011-01-01,2011-12-31,start_boundary_supported
al,dominant_main,1d,direct,2012,2012-01-01,2012-12-31,start_boundary_supported
al,dominant_main,1d,direct,2013,2013-01-01,2013-12-31,start_boundary_supported
al,dominant_main,1d,direct,2014,2014-01-01,2014-12-31,start_boundary_supported
al,dominant_main,1d,direct,2015,2015-01-01,2015-12-31,start_boundary_supported
al,dominant_main,1d,direct,2016,2016-01-01,2016-12-31,start_boundary_supported
al,dominant_main,1d,direct,2017,2017-01-01,2017-12-31,start_boundary_supported
al,dominant_main,1d,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
al,dominant_main,1d,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
al,dominant_main,1d,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
al,dominant_main,1d,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
al,dominant_main,1d,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
al,dominant_main,1d,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,1d,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,1d,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,1d,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
al,dominant_main,1m,direct,2010,2010-01-04,2010-12-31,start_boundary_supported
al,dominant_main,1m,direct,2011,2011-01-01,2011-12-31,start_boundary_supported
al,dominant_main,1m,direct,2012,2012-01-01,2012-12-31,start_boundary_supported
al,dominant_main,1m,direct,2013,2013-01-01,2013-12-31,start_boundary_supported
al,dominant_main,1m,direct,2014,2014-01-01,2014-12-31,start_boundary_supported
al,dominant_main,1m,direct,2015,2015-01-01,2015-12-31,start_boundary_supported
al,dominant_main,1m,direct,2016,2016-01-01,2016-12-31,start_boundary_supported
al,dominant_main,1m,direct,2017,2017-01-01,2017-12-31,start_boundary_supported
al,dominant_main,1m,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
al,dominant_main,1m,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
al,dominant_main,1m,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
al,dominant_main,1m,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
al,dominant_main,1m,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
al,dominant_main,1m,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,1m,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,1m,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,1m,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
al,dominant_main,1w,direct,2000,2000-01-07,2000-12-31,start_boundary_supported
al,dominant_main,1w,direct,2001,2001-01-01,2001-12-31,start_boundary_supported
al,dominant_main,1w,direct,2002,2002-01-01,2002-12-31,start_boundary_supported
al,dominant_main,1w,direct,2003,2003-01-01,2003-12-31,start_boundary_supported
al,dominant_main,1w,direct,2004,2004-01-01,2004-12-31,start_boundary_supported
al,dominant_main,1w,direct,2005,2005-01-01,2005-12-31,start_boundary_supported
al,dominant_main,1w,direct,2006,2006-01-01,2006-12-31,start_boundary_supported
al,dominant_main,1w,direct,2007,2007-01-01,2007-12-31,start_boundary_supported
al,dominant_main,1w,direct,2008,2008-01-01,2008-12-31,start_boundary_supported
al,dominant_main,1w,direct,2009,2009-01-01,2009-12-31,start_boundary_supported
al,dominant_main,1w,direct,2010,2010-01-01,2010-12-31,start_boundary_supported
al,dominant_main,1w,direct,2011,2011-01-01,2011-12-31,start_boundary_supported
al,dominant_main,1w,direct,2012,2012-01-01,2012-12-31,start_boundary_supported
al,dominant_main,1w,direct,2013,2013-01-01,2013-12-31,start_boundary_supported
al,dominant_main,1w,direct,2014,2014-01-01,2014-12-31,start_boundary_supported
al,dominant_main,1w,direct,2015,2015-01-01,2015-12-31,start_boundary_supported
al,dominant_main,1w,direct,2016,2016-01-01,2016-12-31,start_boundary_supported
al,dominant_main,1w,direct,2017,2017-01-01,2017-12-31,start_boundary_supported
al,dominant_main,1w,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
al,dominant_main,1w,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
al,dominant_main,1w,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
al,dominant_main,1w,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
al,dominant_main,1w,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
al,dominant_main,1w,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,1w,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,1w,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,1w,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2010,2010-01-04,2010-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2011,2011-01-01,2011-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2012,2012-01-01,2012-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2013,2013-01-01,2013-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2014,2014-01-01,2014-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2015,2015-01-01,2015-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2016,2016-01-01,2016-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2017,2017-01-01,2017-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2018,2018-01-01,2018-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2019,2019-01-01,2019-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2020,2020-01-01,2020-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2021,2021-01-01,2021-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2022,2022-01-01,2022-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,30m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2010,2010-01-04,2010-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2011,2011-01-01,2011-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2012,2012-01-01,2012-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2013,2013-01-01,2013-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2014,2014-01-01,2014-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2015,2015-01-01,2015-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2016,2016-01-01,2016-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2017,2017-01-01,2017-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2018,2018-01-01,2018-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2019,2019-01-01,2019-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2020,2020-01-01,2020-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2021,2021-01-01,2021-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2022,2022-01-01,2022-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,5m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2010,2010-01-04,2010-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2011,2011-01-01,2011-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2012,2012-01-01,2012-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2013,2013-01-01,2013-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2014,2014-01-01,2014-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2015,2015-01-01,2015-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2016,2016-01-01,2016-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2017,2017-01-01,2017-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2018,2018-01-01,2018-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2019,2019-01-01,2019-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2020,2020-01-01,2020-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2021,2021-01-01,2021-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2022,2022-01-01,2022-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
al,dominant_main,60m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,15m,derived_from_1m,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,15m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,15m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,15m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,1d,derived_from_1m,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,1d,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,1d,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,1d,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,1d,direct,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,1d,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,1d,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,1d,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,1m,direct,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,1m,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,1m,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,1m,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,1w,direct,2023,2023-06-21,2023-12-31,start_boundary_supported
ao,dominant_main,1w,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,1w,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,1w,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,30m,derived_from_1m,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,30m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,30m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,30m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,5m,derived_from_1m,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,5m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,5m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,5m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ao,dominant_main,60m,derived_from_1m,2023,2023-06-19,2023-12-31,start_boundary_supported
ao,dominant_main,60m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ao,dominant_main,60m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ao,dominant_main,60m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2017,2017-12-22,2017-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2018,2018-01-01,2018-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2019,2019-01-01,2019-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2020,2020-01-01,2020-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2021,2021-01-01,2021-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2022,2022-01-01,2022-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ap,dominant_main,15m,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2017,2017-12-22,2017-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2018,2018-01-01,2018-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2019,2019-01-01,2019-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2020,2020-01-01,2020-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2021,2021-01-01,2021-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2022,2022-01-01,2022-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2025,2025-01-01,2025-12-31,start_boundary_supported
ap,dominant_main,1d,derived_from_1m,2026,2026-01-01,2026-07-10,start_boundary_supported
ap,dominant_main,1d,direct,2017,2017-12-22,2017-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ap,dominant_main,1d,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ap,dominant_main,1m,direct,2017,2017-12-22,2017-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ap,dominant_main,1m,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ap,dominant_main,1w,direct,2017,2017-12-22,2017-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ap,dominant_main,1w,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2017,2017-12-22,2017-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2018,2018-01-01,2018-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2019,2019-01-01,2019-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2020,2020-01-01,2020-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2021,2021-01-01,2021-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2022,2022-01-01,2022-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2023,2023-01-01,2023-12-31,start_boundary_supported
ap,dominant_main,30m,derived_from_1m,2024,2024-01-01,2024-12-31,start_boundary_supported
