product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,target_reason,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,db_market_data_file_id,standard_path,recommended_next_task,triage_result,observed_source_interval_values,source_interval_rows_scanned,root_cause_bucket
cj,dominant_main,cj.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,12720,40973.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,30m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,40974.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,30m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,40974.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,30m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,40974.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,30m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,40974.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,60m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,4240,40975.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,60m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,4240,40975.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,60m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,4240,40975.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cj,dominant_main,cj.MAIN,60m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,4240,40975.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,1d,2023,covered_warning,source_interval_unverified,2023-01-01,2023-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56450.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,1d,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56450.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,1d,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56450.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,1d,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56450.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,5m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40978.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,5m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40978.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,5m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40978.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,5m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,57936,40978.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40979.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40979.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40979.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,19312,40979.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,30m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40980.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,30m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40980.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,30m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40980.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,30m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,10080,40980.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,60m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40981.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,60m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40981.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,60m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40981.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cs,dominant_main,cs.MAIN,60m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,5888,40981.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,1d,2023,covered_warning,source_interval_unverified,2023-01-01,2023-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56452.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,1d,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56452.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,1d,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56452.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,1d,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56452.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,5m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,77712,40984.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,5m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,77712,40984.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
cu,dominant_main,cu.MAIN,5m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,77712,40984.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=cu/contract=cu.MAIN/cu_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
